Title_Pinyin,Title,Title_Translation,Title_Abbreviation,Category,Associated_Location,Date,Author,Author_Pinyin,Author_Dates,Author2,Author2_Pinyin,Author3,Author3_Pinyin,Edition,Editor,Editor_Pinyin,Editor2,Editor2_Pinyin,Publication_Date,Publishing_House,Publication_Location,Sub-edition,Sub-edition_Pinyin,Sub-edition_Translation,Sub-edition_Author,Sub-edition_Author_Pinyin,Sub-edition_Author_CBDB,Digital_Edition,Collection,Link,Note,
Jiajing Nangong xianzhi,嘉靖南宮縣志,,,地方誌,南宮縣,1559,葉恆嵩,Ye Hengsong,,,,,,,,,,,,,,,,,,,,LoGaRT,中國方志庫一集,,,
Bizhao lühua,避暑錄話,Notes While Avoiding the Summer Heat,,雜家,,,葉夢得,Ye Mengde,,,,,,,,,,,,,,,,,,,,Wikisource,,https://zh.wikisource.org/zh-hans/%E9%81%BF%E6%9A%91%E9%8C%B2%E8%A9%B1#%E5%8D%B7%E4%B8%8B,,
Zhengde Fuzhou fuzhi,正德福州府志,,,地方誌,福州,1520,葉溥修,Ye Pu,,張孟敬纂,Zhang Mengjing,,,明正德十五年刻本,,,,,,,,田土,tiantu,landholdings,,,,LoGaRT,中國方志庫一集,,,
Kangxi Jiangxi tongzhi,康熙江西通志,,,地方誌,,1683,于成龍修,Yu Chenglong,,杜果纂,Du Guo,,,清康熙二十二年刻本,,,,,,,,,,,,,,,景印文淵閣四庫全書,,,
Wanli Sichuan zongzhi,萬曆四川總志,,,地方誌,四川,萬曆,虞怀忠修,Yu Huaizhong,,郭棐纂,Guo Fei,,,,,,,,,,,木政,mu zheng,timber administration,,,,LoGaRT,中國方志庫一集,,,
Tianqi Ganzhou fuzhi,天啓贛州府志,,,地方誌,贛州,1627,余文龍,Yu Wenlong,,謝詔,Xie Shao,,,清順治十七年刻本,,,,,1660,,,榷政志,quanzheng zhi,monopoly administration,,,,LoGaRT,中國方志庫一集,,,
Wanli Ji’an fuzhi,萬曆吉安府志,,,地方誌,吉安,1584,余之禎,Yu Zhizhen,,,,,,明萬曆十三年刻本,,,,,,,,戶賦志,hu fu zhi,households and taxation,,,,LoGaRT,中國方志庫二集,,,
Wanli Ji'an fuzhi,萬曆吉安府志,,,地方誌,吉安,1585,余之禎纂修,Yu Zhizhen,,,,,,明萬曆十三年刻本,,,,,,,,,,,,,,,日本藏中國罕見地方志叢刊,,,
Yuanshi shifan,袁氏世範,House Instructions of Mr. Yuan,,儒家,,1193,袁菜,Yuan Cai,,,,,,,,,,,,,,早慮,zao lü,advance planning,,,,Wikisource,,https://zh.wikisource.org/wiki/%E8%A2%81%E6%B0%8F%E4%B8%96%E7%AF%84/%E5%8D%B7%E4%B9%8B%E4%B8%AD#%E4%BA%8B%E8%B2%B4%E9%A0%90%E8%AC%80%E5%BE%8C%E5%89%87%E6%99%82%E5%A4%B1,,
Yuanshi shifan,袁氏世範,House Instructions of Mr. Yuan,,儒家,,1193,袁菜,Yuan Cai,,,,,,,,,,,,,,桑木因時種植,sang mu yinshi zhongzhi,timely planting of mulberries and timber,,,,Wikisource,,https://zh.wikisource.org/wiki/%E8%A2%81%E6%B0%8F%E4%B8%96%E7%AF%84/%E5%8D%B7%E4%B9%8B%E4%B8%8B#%E6%A1%91%E6%9C%A8%E5%9B%A0%E6%99%82%E7%A8%AE%E6%A4%8D,,
